,summary,Deutschland,Brasilien,USA,Frankreich,UN,China,Russland,Ukraine,word
intensiv kooperation,2.651853009939028,-0.11336120610446324,0.1296262818615159,-0.13023958741974856,-0.056473059768927754,0.0,0.330228007066378,-0.11701497233732913,0.0030351098272173513,intensiv kooperation
kooperation beiden,2.6229044631178065,-0.1183786242860945,0.12806956289731355,-0.11926322021672406,-0.0454966925659034,0.0,0.3253350658535675,-0.1060386051343047,0.014011477030241812,kooperation beiden
beiden land,2.611936137636153,-0.12005596423158811,0.12726718904311987,-0.11507270426069958,-0.04130617660987867,0.0,0.323125563040697,-0.10184808917828016,0.018201992986266288,beiden land
ausgesprochen,2.6017957186482636,-0.12149880628710209,0.126424371547268,-0.11118281039816086,-0.03741628274734018,0.0,0.3209079433612899,-0.09795819531574142,0.022091886848805045,ausgesprochen
land aussprech,2.6017957186482636,-0.12149880628710209,0.126424371547268,-0.11118281039816086,-0.03741628274734018,0.0,0.3209079433612899,-0.09795819531574142,0.022091886848805045,land aussprech
der kanzler,3.4916250775999855,-0.18287235914319624,0.04725031717881379,0.5009332202256647,-0.3315816812171719,0.0,0.24978412377002857,-0.3921235937855734,-0.2720735116210269,der kanzler
kanzler kündig,2.5687175985189876,-0.12550104575620535,0.1230242938928862,-0.09838772821633991,-0.02462120056551914,0.0,0.31250192774839436,-0.0851631131339205,0.03488696903062589,kanzler kündig
kündig peking,2.556780334018427,-0.1287351539673091,0.12878329046752077,-0.0937297276703592,-0.019963200019538458,0.0,0.30608039545100474,-0.0805051125879398,0.03954496957660678,kündig peking
peking differenz,2.5516101220473106,-0.13189946855001325,0.13772800303280502,-0.09170552306777323,-0.017938995416952666,0.0,0.3003989015178688,-0.07848090798535398,0.0415691741791925,peking differenz
thematisieren,2.5474605369953744,-0.13494989149788236,0.14687303763965215,-0.09007793786825874,-0.016311410217437955,0.0,0.29477881986902377,-0.07685332278583924,0.04319675937870712,thematisieren
differenz thematisier,2.5474605369953744,-0.13494989149788236,0.14687303763965215,-0.09007793786825874,-0.016311410217437955,0.0,0.29477881986902377,-0.07685332278583924,0.04319675937870712,differenz thematisier
kanzler nenn,2.550897429500941,-0.13703399988849474,0.17360128382975745,-0.09142617314273963,-0.017659645491919028,0.0,0.27351575424372626,-0.07820155806032038,0.04184852410422622,kanzler nenn
wichtige,2.557231773077126,-0.1353141577845636,0.1813569672419587,-0.09390627753000674,-0.02013974987918605,0.0,0.26571868712425495,-0.08068166244758727,0.0393684197169591,wichtige
nenn wichtig,2.557231773077126,-0.1353141577845636,0.1813569672419587,-0.09390627753000674,-0.02013974987918605,0.0,0.26571868712425495,-0.08068166244758727,0.0393684197169591,nenn wichtig
wichtig thema,2.5632410278830586,-0.13392267219366408,0.18824243462614748,-0.09625342702120598,-0.02248689937038503,0.0,0.2591991815253359,-0.08302881193878633,0.03702127022575988,wichtig thema
Hunger,2.5726132505085793,-0.13209219666924538,0.19835176700340398,-0.09990315402709612,-0.026136626376275486,0.0,0.2502171432351472,-0.08667853894467674,0.03337154321986959,Hunger
thema hunger,2.5726132505085793,-0.13209219666924538,0.19835176700340398,-0.09990315402709612,-0.026136626376275486,0.0,0.2502171432351472,-0.08667853894467674,0.03337154321986959,thema hunger
hunger klimawandel,2.5798777569295743,-0.13089264314971089,0.2058095543491613,-0.10272295952468234,-0.02895643187386165,0.0,0.24397954714482772,-0.08949834444226283,0.03055173772228367,hunger klimawandel
Verschuldung,2.602665665679095,-0.12802639946045138,0.2278594705325421,-0.1115171185905718,-0.03775059093975107,0.0,0.2270800505883419,-0.09829250350815237,0.021757578656394074,Verschuldung
klimawandel verschuldung,2.602665665679095,-0.12802639946045138,0.2278594705325421,-0.1115171185905718,-0.03775059093975107,0.0,0.2270800505883419,-0.09829250350815237,0.021757578656394074,klimawandel verschuldung
armer,2.6223276768179415,-0.12637261184860943,0.24588886733358603,-0.1190432923710914,-0.04527676472027065,0.0,0.21459360696579308,-0.10581867728867202,0.01423140487587438,armer
verschuldung arm,2.6223276768179415,-0.12637261184860943,0.24588886733358603,-0.1190432923710914,-0.04527676472027065,0.0,0.21459360696579308,-0.10581867728867202,0.01423140487587438,verschuldung arm
arm land,2.9984262017169887,0.0687313105887866,0.12572784202841195,-0.2530684943387382,-0.1793019666879174,0.0,0.07835453904786706,-0.23984387925631886,-0.11979379709177236,arm land
gut,2.667488783695308,-0.12468768921117751,0.2856408625961683,-0.1361184421333934,-0.06235191448257269,0.0,0.1899648039057142,-0.12289382705097403,-0.0028437448864274562,gut
sei gut,2.667488783695308,-0.12468768921117751,0.2856408625961683,-0.1361184421333934,-0.06235191448257269,0.0,0.1899648039057142,-0.12289382705097403,-0.0028437448864274562,sei gut
gut ganz,2.7365309432095817,-0.12662170961684924,0.3447297752955424,-0.1616719818728073,-0.08790545422198659,0.0,0.1580175822934364,-0.14844736679038784,-0.028397284625841436,gut ganz
intensiven,2.763743322840532,-0.1286738521979496,0.3678187247185384,-0.17156697995722428,-0.09780045230640352,0.0,0.14650388570318232,-0.1583423648748049,-0.03829228271025841,intensiven
ganz intensiv,2.763743322840532,-0.1286738521979496,0.3678187247185384,-0.17156697995722428,-0.09780045230640352,0.0,0.14650388570318232,-0.1583423648748049,-0.03829228271025841,ganz intensiv
intensiv austausch,2.8539485756716823,-0.13991394305128604,0.4436402511863671,-0.2036844433059544,-0.12991791565513364,0.0,0.11091310744482268,-0.190459828223535,-0.07040974605898852,intensiv austausch
